爱	ài	αγάπη
八	bā	οκτώ
爸爸	bà ba	πατέρας
杯子	bēi zi	φλιτζάνι
北京	běi jīng	πεκίνο
本	běn	αυτό
不客气	bú kè qi	παρακαλώ
不	bù	μην
菜	cài	πιάτο
茶	chá	τσάι
吃	chī	τρώω
出租车	chū zū chē	ταξί
打电话	dǎ diàn huà	κλήση
大	dà	μεγάλο
的	de	του
点	diǎn	σημείο
电脑	diàn nǎo	υπολογιστή
电视	diàn shì	τηλεόραση
电影	diàn yǐng	η ταινία
东西	dōng xi	πράγμα
都	dōu	ολα
读	dú	ανάγνωση
对不起	duì bu qǐ	συγνώμη
多	duō	πολλά
多少	duō shǎo	πόσα
儿子	ér zi	υιός
二	èr	δύο
饭店	fàn diàn	εστιατόριο
飞机	fēi jī	αεροσκάφος
分钟	fēn zhōng	λεπτό
高兴	gāo xìng	ευτυχισμένος
个	gè	ενα
工作	gōng zuò	θέσεις εργασίας
狗	gǒu	σκύλος
汉语	hàn yǔ	κινέζικα
好	hǎo	είναι καλό
号	hào	αριθμός
喝	hē	ποτό
和	hé	με
很	hěn	πολύ
后面	hòu miàn	πίσω
回	huí	πίσω στο
会	huì	συνάντηση
几	jǐ	λίγα
家	jiā	οικογένεια
叫	jiào	κλήση
今天	jīn tiān	στην εποχή μας
九	jiǔ	εννέα
开	kāi	άνοιξε
看	kàn	κοίτα
看见	kàn jiàn	βλέπω
块	kuài	κομμάτι
来	lái	ελα
老师	lǎo shī	δάσκαλος
了	le	πάνω
冷	lěng	κρύο
里	lǐ	σε
六	liù	έξι
吗	ma	είναι
妈妈	mā ma	μαμά
买	mǎi	αγορά
猫	māo	γάτα
没关系	méi guān xi	είναι εντάξει
没有	méi yǒu	οχι
米饭	mǐ fàn	ρύζι
名字	míng zi	όνομα
明天	míng tiān	αύριο
哪	nǎ	όπου
哪儿	nǎ er	όπου
那	nà	ότι
呢	ne	τι
能	néng	μπορώ
你	nǐ	εσύ
年	nián	έτος
女儿	nǚ ér	κόρη
朋友	péng you	φίλος
漂亮	piào liang	αρκετά
苹果	píng guǒ	μήλο
七	qī	επτά
前面	qián miàn	εμπρός
钱	qián	χρήματα
请	qǐng	σας παρακαλούμε
去	qù	συμβαδίζω
热	rè	θερμότητα
人	rén	ανθρωποι
认识	rèn shi	κατανόηση
三	sān	τρία
商店	shāng diàn	κατάστημα
上	shàng	επί
上午	shàng wǔ	πρωί
少	shǎo	πιο λιγο
谁	shéi	που
什么	shén me	τι
十	shí	δέκα
时候	shí hou	χρόνος
是	shì	ναί
书	shū	βιβλίο
水	shuǐ	νερό
水果	shuǐguǒ	καρπός
睡觉	shuì jiào	πήγαινε στο κρεβάτι
说	shuō	λένε
四	sì	τέσσερα
岁	suì	ετών
他	tā	αυτός
她	tā	ήταν
太	tài	πολύ
天气	tiān qì	ο καιρός
听	tīng	ακούω
同学	tóng xué	συμμαθητής
喂	wèi	γεια (παρεμβολή)
我	wǒ	εγώ
我们	wǒ men	εμείς
五	wǔ	πέντε
喜欢	xǐ huan	αρέσει
下	xià	κάτω από
下午	xià wǔ	το απόγευμα
下雨	xià yǔ	βροχή
先生	xiān sheng	κύριος
现在	xiàn zài	μόλις τώρα
想	xiǎng	μου λείπεις
小	xiǎo	μικρό
小姐	xiǎo jie	δεσποινίδα
些	xiē	μερικοί
写	xiě	γράφω
谢谢	xiè xie	ευχαριστώ
星期	xīng qī	εβδομάδα
学生	xué sheng	μαθητης σχολειου
学习	xué xí	μαθαίνω
学校	xué xiào	σχολείο
一	yī	ενας
一点儿	yī diǎn er	λίγο
医生	yī shēng	γιατροί
医院	yī yuàn	νοσοκομείο
衣服	yī fu	ρούχα
椅子	yǐ zi	καρέκλα
有	yǒu	εχω
月	yuè	μήνας
再见	zài jiàn	αντιο σας
在	zài	σε
怎么	zěn me	πως
怎么样	zěn me yàng	τι λες γι 'αυτό
这	zhè	αυτό
中国	zhōng guó	κίνα
中午	zhōng wǔ	μεσημέρι
住	zhù	ζω
桌子	zhuō zi	τραπέζι
字	zì	λέξη
昨天	zuó tiān	εχθές
做	zuò	κάνω
坐	zuò	καθίστε
