啊	a	ماذا
阿姨	ā yí	عمة
矮	ǎi	قصيرة
爱好	ài hào	هواية
安静	ān jìng	كن هادئا
把	bǎ	وضع
搬	bān	نقل
班	bān	صف دراسي
办法	bàn fǎ	طريقة
办公室	bàn gōng shì	مكتب. مقر. مركز
半	bàn	نصف
帮忙	bāng máng	مساعدة
包	bāo	صفقة
饱	bǎo	ممتلئ
北方	běi fāng	شمال
被	bèi	كن
鼻子	bí zi	أنف
比较	bǐ jiào	قارن
比赛	bǐ sài	لعبه
笔记本	bǐ jì běn	دفتر
必须	bì xū	يجب أن
变化	biàn huà	تشكيلة
别人	bié rén	أشخاص أخرون
冰箱	bīng xiāng	ثلاجة
不但…而且…	bù dàn …ér qiě …	ليس فقط ولكن أيضا…
菜单	cài dān	قائمة طعام
参加	cān jiā	مشاركة
草	cǎo	نجيل
层	céng	أرضية
差	chà	فرق
超市	chāo shì	سوبر ماركت
衬衫	chèn shān	قميص
城市	chéng shì	مدينة
成绩	chéng jì	درجات
迟到	chí dào	متأخر
除了	chú le	بعيدا عن
船	chuán	العبارة
春	chūn	ربيع
词典	cí diǎn	قاموس
聪明	cōng ming	ذكي
打扫	dǎ sǎo	نظيف
打算	dǎ suàn	اعتزم
带	dài	فرقة
担心	dān xīn	قلق
蛋糕	dàn gāo	كيك
当然	dāng rán	بالطبع
地	de	الأرض (الجسيمات)
灯	dēng	ضوء
地方	dì fang	محلي
地铁	dì tiě	مترو الانفاق
地图	dì tú	خريطة
电梯	diàn tī	مصعد
电子邮件	diàn zǐ yóu jiàn	البريد الإلكتروني
东	dōng	الشرق
冬	dōng	شتاء
动物	dòng wù	حيوان
短	duǎn	قصيرة
段	duàn	قطعة
锻炼	duàn liàn	اكتشف - حل
多么	duō me	كيف
饿	è a	جوعان
耳朵	ěr duo	أذن
发	fā	شعر
发烧	fā shāo	حمى
发现	fā xiàn	تجد
方便	fāng biàn	السهولة أو الراحة
放	fàng	وضع
放心	fàng xīn	اطمئن، لا تشغل بالك
分	fēn	دقيقة
复习	fù xí	مراجعة
附近	fù jìn	مجاور
干净	gān jìng	نظيف
感冒	gǎn mào	البرد
感兴趣	gǎn xìng qù	مهتم ب
刚才	gāng cái	في هذة اللحظة
个子	gè zi	طويل
根据	gēn jù	بالنسبة الى
跟	gēn	مع
更	gèng	أكثر
公斤	gōng jīn	كلغ
公园	gōng yuán	منتزه
故事	gù shi	قصة
刮风	guā fēng	عاصف
关	guān	اطفئه
关系	guān xì	صلة
关心	guān xīn	الاهتمام
关于	guān yú	على
国家	guó jiā	بلد
过	guò	اجتياز (فعل)
过去	guò qu	الماضي
还是	hái shì	لا يزال
害怕	hài pà	مفزوع
黑板	hēi bǎn	بلاك بورد
后来	hòu lái	في وقت لاحق
护照	hù zhào	جواز سفر
花	huā	زهرة (فعل)
花	huā	زهرة (اسم)
画	huà	لوحة
坏	huài	سيئة
欢迎	huān yíng	أهلا بك
环境	huán jìng	محيط
还	huán	العودة (فعل)
换	huàn	يتغيرون
黄河	huáng hé	النهر الأصفر
回答	huí dá	الرد
会议	huì yì	لقاء
或者	huò zhě	أو
几乎	jī hū	تقريبيا
机会	jī huì	فرصة
极	jí	عمود
季节	jì jié	الموسم
记得	jì de	تذكر
检查	jiǎn chá	اختبار، فحص
简单	jiǎn dān	بسيط
健康	jiàn kāng	الصحة
见面	jiàn miàn	يجتمع
讲	jiǎng	تحدث
教	jiào	يعلم
脚	jiǎo	قدم
角	jiǎo	زاوية
接	jiē	امسك
街道	jiē dào	شارع
结婚	jié hūn	الزواج
结束	jié shù	النهاية
节目	jié mù	برنامج
节日	jié rì	مهرجان
解决	jiě jué	حل
借	jiè	اقتراض
经常	jīng cháng	غالبا
经过	jīng guò	بعد
经理	jīng lǐ	مدير
久	jiǔ	طويل
旧	jiù	قديم
句子	jù zi	جملة او حكم على
决定	jué dìng	قرر
可爱	kě ài	محبوب
渴	kě	متعطش
刻	kè	منقوش
客人	kè rén	الضيوف
空调	kōng tiáo	تكيف
口	kǒu	فم
哭	kū	يبكي
裤子	kù zi	بنطال
筷子	kuài zi	عيدان
蓝	lán	أزرق
老	lǎo	قديم
离开	lí kāi	ابتعد أو ارحل
礼物	lǐ wù	هدية مجانية
历史	lì shǐ	التاريخ
脸	liǎn	وجه
练习	liàn xí	ممارسه الرياضه
辆	liàng	مركبات
聊天	liáo tiān	للدردشة معه
了解	liǎo jiě	لفهم
邻居	lín jū	الجار
留学	liú xué	الدراسة في الخارج
楼	lóu	أرضية
绿	lv4	أخضر
马	mǎ	حصان
马上	mǎ shàng	فورا
满意	mǎn yì	رضا
帽子	mào zi	قبعة
米	mǐ	متر
面包	miàn bāo	خبز
明白	míng bai	تفهم
拿	ná	يأخذ
奶奶	nǎi nai	جدة
南	nán	جنوب
难	nán	صعب
难过	nán guò	حزين
年级	nián jí	درجة
年轻	nián qīng	شاب
鸟	niǎo	طائر
努力	nǔ lì	اعمل بجد
爬山	pá shān	تسلق الجبال
盘子	pán zi	طبق
胖	pàng	سمين
啤酒	pí jiǔ	بيرة
皮鞋	pí xié	أحذية جلدية
瓶子	píng zi	زجاجة
其实	qí shí	في الحقيقة
其他	qí tā	آخر
奇怪	qí guài	غريب
骑	qí	اركب
起飞	qǐ fēi	اخلع
起来	qǐ lái	انهض
清楚	qīng chu	واضح
请假	qǐng jià	طلب إجازة
秋	qiū	الخريف
裙子	qún zi	تنورة
然后	rán hòu	ثم
热情	rè qíng	الحماس
认为	rèn wéi	يفكر
认真	rèn zhēn	جدي
容易	róng yì	سهل
如果	rú guǒ	في حالة
伞	sǎn	مظلة
上网	shàng wǎng	اتصل بالانترنت
声音	shēng yīn	صوت
生气	shēng qì	منزعج
世界	shì jiè	العالمية
试	shì	اختبار
瘦	shòu	نحيف
叔叔	shū shu	اخو الام
舒服	shū fu	مريح
数学	shù xué	الرياضيات
树	shù	شجرة
刷牙	shuā yá	نظف اسنانك
双	shuāng	مزدوج
水平	shuǐ píng	مستوى
司机	sī jī	سائق
太阳	tài yáng	شمس
特别	tè bié	خصوصا
疼	téng	ألم
提高	tí gāo	تحسن
体育	tǐ yù	التعليم الجسدي
甜	tián	حلو
条	tiáo	مقالة - سلعة
同事	tóng shì	زميل
同意	tóng yì	يوافق على
头发	tóu fa	شعر
突然	tū rán	فجأة
图书馆	tú shū guǎn	مكتبة
腿	tuǐ	رجل
完成	wán chéng	تنفيذ
碗	wǎn	عاء
万	wàn	عشرة آلاف
忘记	wàng jì	ننسى
为	wèi	إلى عن على
为了	wèi le	لكي
位	wèi	قليلا
文化	wén huà	حضاره
西	xī	س
习惯	xí guàn	عادة
洗手间	xǐ shǒu jiān	غرفة الاستراحة
洗澡	xǐ zǎo	استحم
夏	xià	الصيف
先	xiān	أول
相信	xiāng xìn	يصدق
香蕉	xiāng jiāo	موز
像	xiàng	مثل
向	xiàng	إلى
小心	xiǎo xīn	كن حذرا
校长	xiào zhǎng	المالك
新闻	xīn wén	أخبار
新鲜	xīn xiān	طازج
信用卡	xìn yòng kǎ	بطاقة الائتمان
行李箱	xíng lǐ xiāng	جذع
熊猫	xióng māo	الباندا
需要	xū yào	بحاجة إلى
选择	xuǎn zé	تحديد
要求	yāo qiú	يطالب
爷爷	yé ye	جد
一直	yī zhí	دائما
一定	yí dìng	بالتأكيد
一共	yī gòng	مجموع
一会儿	yī huì er	فترة
一样	yī yàng	نفسه
以前	yǐ qián	قبل
一般	yī bān	جنرال لواء
一边	yī biān	جانب واحد
音乐	yīn yuè	موسيقى
银行	yín háng	مصرف
饮料	yǐn liào	يشرب
应该	yīng gāi	ينبغي
影响	yǐng xiǎng	تأثيرات
用	yòng	استعمال
游戏	yóu xì	لعبه
有名	yǒu míng	مشهور
又	yòu	أيضا
遇到	yù dào	يواجه .. ينجز
元	yuán	يوان
愿意	yuàn yì	راغب
月亮	yuè liang	القمر
越	yuè	أكثر
站	zhàn	محطة
张	zhāng	تشانغ
长	zhǎng	طويل (فعل)
着急	zháo jí	قلق
照顾	zhào gu	رعاية
照片	zhào piàn	صورة فوتوغرافية
照相机	zhào xiàng jī	الة تصوير
只	zhǐ	فقط (ظرف)
只	zhǐ	فقط (محدد الكم)
只有…才…	zhǐ yǒu …cái …	فقط...
中间	zhōng jiān	متوسط
中文	zhōng wén	صينى
终于	zhōng yú	أخيرا
种	zhǒng	الأنواع (محدد الكم)
重要	zhòng yào	مهم
周末	zhōu mò	عطلة نهاية الاسبوع
主要	zhǔ yào	الأساسية
注意	zhù yì	ملحوظة
自己	zì jǐ	نفسه - ذاته
自行车	zì xíng chē	دراجة
总是	zǒng shì	دائما
嘴	zuǐ	فم
最后	zuì hòu	أخيرا
最近	zuì jìn	الأخيرة
作业	zuò yè	عملية
